Rank,Card,metric
202,Adventurer,1.6273516844268612
203,Navigator,1.6138789470904218
204,Fortune Teller,1.591509391061943
205,Contraband,1.564754701735804
206,Harvest,1.5524725493555003
207,Scout,1.5143142368230893
208,Counting House,1.488704047791432
209,Coppersmith,1.3943728940387843
210,Royal Seal,1.3865674994343062
211,Copper,0.0
212,Duchy,0.0
213,Silver,0.0
214,Gold,0.0
215,Curse,0.0
216,Province,0.0
217,Estate,0.0
